,Rating,Size,Price
0,4.1,19.0,0.0
1,3.9,14.0,0.0
2,4.7,8.7,0.0
3,4.5,25.0,0.0
4,4.3,2.8,0.0
5,4.4,5.6,0.0
6,3.8,19.0,0.0
7,4.1,29.0,0.0
8,4.4,33.0,0.0
9,4.7,3.1,0.0
10,4.4,28.0,0.0
11,4.4,12.0,0.0
12,4.2,20.0,0.0
13,4.6,21.0,0.0
14,4.4,37.0,0.0
15,3.2,2.7,0.0
16,4.7,5.5,0.0
17,4.5,17.0,0.0
18,4.3,39.0,0.0
19,4.6,31.0,0.0
20,4.0,14.0,0.0
21,4.1,12.0,0.0
22,4.7,4.2,0.0
24,4.7,23.0,0.0
25,4.8,6.0,0.0
26,4.7,25.0,0.0
27,4.1,6.1,0.0
28,3.9,4.6,0.0
29,4.1,4.2,0.0
30,4.2,9.2,0.0
31,4.1,5.2,0.0
32,4.5,11.0,0.0
33,4.2,11.0,0.0
34,4.7,4.2,0.0
35,3.8,9.2,0.0
36,4.7,24.0,0.0
38,4.7,11.0,0.0
39,4.0,9.4,0.0
40,4.2,15.0,0.0
41,4.5,10.0,0.0
43,3.8,1.2,0.0
44,4.2,12.0,0.0
45,4.7,24.0,0.0
46,4.6,26.0,0.0
47,4.2,8.0,0.0
48,4.3,7.9,0.0
49,4.2,25.0,0.0
50,4.0,56.0,0.0
51,3.8,57.0,0.0
53,3.9,35.0,0.0
54,4.3,33.0,0.0
55,4.9,33.0,0.0
56,4.4,5.6,0.0
57,4.2,54.0,0.0
58,4.0,0.201,0.0
59,3.9,3.6,0.0
60,4.6,5.7,0.0
61,4.9,17.0,0.0
62,4.3,8.6,0.0
63,4.6,2.4,0.0
64,4.9,27.0,0.0
65,3.9,2.7,0.0
66,4.0,2.5,0.0
69,4.2,7.0,0.0
70,4.8,35.0,0.0
71,3.6,16.0,0.0
72,4.2,16.0,0.0
74,4.8,17.0,0.0
75,4.6,3.4,0.0
76,4.5,8.9,0.0
77,4.3,3.9,0.0
78,4.5,2.9,0.0
79,4.9,38.0,0.0
80,3.9,32.0,0.0
81,4.4,37.0,0.0
82,4.0,15.0,0.0
83,4.3,5.4,0.0
84,3.7,18.0,0.0
86,4.3,38.0,0.0
87,3.2,1.1,0.0
90,4.5,7.9,0.0
91,3.7,35.0,0.0
93,4.6,17.0,0.0
94,4.6,19.0,0.0
95,4.0,14.0,0.0
96,4.4,2.2,0.0
97,4.0,4.5,0.0
98,4.7,17.0,0.0
99,4.9,14.0,0.0
100,4.7,9.8,0.0
101,3.9,21.0,0.0
103,4.2,52.0,0.0
104,4.6,14.0,0.0
105,4.3,25.0,0.0
106,4.7,9.0,0.0
108,4.8,12.0,0.0
110,4.3,35.0,0.0
111,4.5,6.7,0.0
112,4.1,30.0,0.0
114,4.2,2.9,0.0
115,4.5,17.0,0.0
116,4.4,2.9,0.0
119,4.1,2.6,0.0
120,4.4,4.2,0.0
121,4.6,7.1,0.0
122,4.5,57.0,0.0
124,3.9,22.0,0.0
125,4.4,24.0,0.0
127,4.6,21.0,0.0
128,3.8,3.4,0.0
131,4.0,6.4,0.0
132,4.3,3.2,0.0
133,4.5,8.2,0.0
135,4.1,2.9,0.0
136,3.7,23.0,0.0
137,4.7,4.6,0.0
138,4.2,3.1,0.0
140,4.5,4.9,0.0
141,4.6,9.5,0.0
147,4.5,4.2,0.0
148,4.4,5.4,0.0
150,4.6,2.8,0.0
151,4.8,5.0,0.0
153,4.6,5.9,0.0
154,4.2,13.0,0.0
155,4.1,7.1,0.0
156,4.7,6.7,0.0
158,4.3,17.0,0.0
159,3.3,19.0,0.0
160,4.6,6.7,0.0
161,4.8,21.0,0.0
164,4.1,37.0,0.0
165,4.6,15.0,0.0
166,4.1,23.0,0.0
167,4.6,19.0,0.0
168,4.7,23.0,0.0
169,4.5,73.0,0.0
170,3.9,4.9,0.0
171,4.4,6.8,0.0
174,4.5,2.9,0.0
175,4.4,3.5,0.0
176,3.4,4.0,0.0
177,4.9,21.0,0.0
178,4.6,2.3,0.0
181,4.4,10.0,0.0
182,4.4,6.1,0.0
183,4.4,2.1,0.0
184,3.5,42.0,0.0
186,4.4,30.0,0.0
190,4.3,29.0,0.0
194,4.3,35.0,0.0
195,3.9,9.1,0.0
196,4.8,25.0,0.0
197,4.5,3.9,0.0
198,4.4,18.0,0.0
199,4.0,12.0,0.0
200,4.3,21.0,0.0
205,4.2,55.0,0.0
206,4.6,3.2,0.0
209,3.1,0.023,0.0
210,3.9,16.0,0.0
212,4.1,14.0,0.0
213,4.4,37.0,0.0
216,4.5,11.0,0.0
217,4.4,25.0,0.0
218,4.4,7.3,0.0
219,4.3,6.5,0.0
220,4.4,25.0,0.0
221,4.6,3.1,0.0
223,4.4,1.5,0.0
224,4.7,7.5,0.0
225,3.8,8.6,0.0
231,4.7,39.0,0.0
232,4.5,14.0,0.0
233,4.2,19.0,0.0
234,4.7,6.8,4.99
235,4.8,39.0,4.99
237,4.2,14.0,0.0
238,4.3,20.0,0.0
241,4.1,26.0,0.0
242,3.8,51.0,0.0
243,4.3,41.0,0.0
244,3.8,20.0,0.0
246,4.1,12.0,0.0
247,4.6,48.0,0.0
248,4.3,10.0,0.0
249,4.5,22.0,0.0
250,4.1,11.0,0.0
251,4.5,8.5,0.0
252,4.6,8.6,0.0
254,4.2,28.0,0.0
255,4.4,28.0,0.0
257,4.0,9.0,0.0
258,4.2,46.0,0.0
260,4.1,14.0,0.0
262,3.8,26.0,0.0
263,3.9,23.0,0.0
295,4.5,29.0,0.0
298,4.6,4.9,0.0
299,4.7,27.0,0.0
300,4.7,32.0,0.0
301,4.8,12.0,0.0
302,3.9,15.0,0.0
303,4.1,11.0,0.0
304,4.4,28.0,0.0
305,4.6,2.2,0.0
306,4.5,3.4,0.0
307,4.7,8.3,0.0
308,4.4,4.3,0.0
309,4.5,4.7,0.0
310,3.9,10.0,0.0
311,3.2,15.0,0.0
312,3.2,7.1,0.0
313,4.1,21.0,0.0
314,4.5,6.1,0.0
316,4.2,15.0,0.0
317,3.7,11.0,0.0
318,4.5,29.0,0.0
319,4.6,3.3,0.0
322,4.7,40.0,0.0
323,4.4,10.0,0.0
324,3.5,9.1,0.0
325,3.3,4.7,0.0
326,4.5,38.0,0.0
328,4.2,6.7,0.0
329,5.0,37.0,0.0
331,4.7,7.8,0.0
332,4.4,19.0,0.0
333,4.4,5.7,0.0
334,4.6,35.0,0.0
337,4.3,17.0,0.0
343,4.3,8.8,0.0
345,4.3,16.0,0.0
346,4.3,11.0,0.0
347,4.3,11.0,0.0
349,4.3,15.0,0.0
350,4.0,6.6,0.0
352,4.3,6.6,0.0
355,3.9,5.1,0.0
357,3.6,18.0,0.0
358,4.4,4.0,0.0
362,4.4,37.0,0.0
364,4.2,22.0,0.0
366,4.4,3.3,0.0
367,4.4,32.0,0.0
368,3.9,37.0,0.0
374,4.4,17.0,0.0
377,3.9,35.0,0.0
378,4.5,40.0,0.0
379,3.7,61.0,0.0
380,4.3,66.0,0.0
384,4.0,0.079,0.0
387,4.1,25.0,0.0
388,4.2,14.0,0.0
395,4.4,24.0,0.0
397,4.1,17.0,0.0
398,4.3,8.3,0.0
400,4.5,8.2,0.0
405,4.3,8.4,0.0
409,4.2,32.0,0.0
413,4.6,6.1,0.0
416,4.2,2.8,0.0
421,4.1,2.2,0.0
423,4.1,4.3,0.0
424,4.3,4.7,0.0
425,4.1,2.3,0.0
426,4.2,2.3,0.0
428,4.2,11.0,0.0
429,4.2,2.7,0.0
432,4.3,13.0,0.0
433,4.4,3.7,0.0
434,4.2,10.0,0.0
435,4.4,13.0,0.0
437,4.2,13.0,0.0
438,4.8,8.8,0.0
439,4.4,5.5,0.0
440,4.4,20.0,0.0
441,4.4,29.0,0.0
444,4.4,11.0,0.0
446,4.2,17.0,0.0
447,4.5,17.0,0.0
450,4.0,0.118,0.0
453,4.2,5.1,0.0
455,4.6,44.0,0.0
456,4.1,7.3,0.0
457,4.0,30.0,0.0
458,4.2,0.695,0.0
460,4.1,1.6,0.0
461,4.3,19.0,0.0
470,4.1,23.0,0.0
471,4.6,26.0,0.0
477,2.6,6.2,6.99
481,3.5,17.0,7.99
483,4.1,15.0,0.0
485,4.1,56.0,0.0
486,4.2,12.0,0.0
487,4.5,11.0,0.0
488,4.4,29.0,0.0
490,4.0,40.0,0.0
492,3.1,53.0,0.0
493,4.4,3.1,0.0
494,4.2,24.0,0.0
495,4.1,23.0,0.0
496,3.9,5.0,0.0
497,4.3,44.0,0.0
498,4.4,27.0,0.0
499,3.5,6.1,0.0
501,3.3,21.0,0.0
502,4.5,11.0,0.0
503,4.4,21.0,0.0
504,4.1,24.0,0.0
505,3.9,31.0,0.0
506,3.9,27.0,0.0
507,3.6,6.2,0.0
509,3.6,12.0,0.0
510,3.4,8.0,0.0
511,4.2,5.9,0.0
512,4.1,7.9,0.0
513,3.4,5.0,0.0
514,3.0,1.4,0.0
515,4.6,13.0,0.0
516,4.1,40.0,0.0
517,3.9,13.0,0.0
518,1.9,19.0,0.0
519,3.5,5.0,0.0
520,2.5,19.0,0.0
521,3.9,27.0,0.0
522,3.4,3.0,0.0
523,3.5,13.0,0.0
524,4.4,7.2,0.0
525,3.8,25.0,0.0
527,2.5,5.7,0.0
528,2.8,5.5,0.0
530,4.2,6.5,0.0
531,3.5,5.8,0.0
533,3.3,3.8,0.0
534,4.1,41.0,0.0
535,4.2,7.9,0.0
536,3.5,2.8,0.0
537,4.2,20.0,0.0
538,4.4,15.0,0.0
539,4.1,28.0,0.0
540,4.2,9.6,0.0
541,4.3,13.0,0.0
546,3.0,9.4,0.0
552,4.0,27.0,0.0
555,3.3,45.0,0.0
559,4.1,15.0,0.0
563,3.7,38.0,0.0
567,4.0,32.0,0.0
569,4.0,63.0,0.0
570,4.1,44.0,0.0
572,3.3,16.0,0.0
573,4.4,28.0,0.0
577,4.3,9.0,0.0
578,3.4,20.0,0.0
581,4.0,49.0,0.0
582,3.6,27.0,0.0
583,4.2,18.0,0.0
584,3.5,14.0,0.0
585,4.0,27.0,0.0
587,4.1,38.0,0.0
589,4.4,27.0,0.0
591,4.2,21.0,0.0
592,4.1,8.8,0.0
593,4.2,38.0,0.0
595,4.1,11.0,0.0
597,3.9,26.0,0.0
598,4.0,19.0,0.0
599,4.2,6.1,0.0
600,4.5,77.0,0.0
601,3.9,9.5,0.0
602,3.6,14.0,0.0
603,4.4,38.0,0.0
604,3.5,16.0,0.0
605,4.4,3.4,0.0
606,4.8,4.7,0.0
607,4.6,5.0,0.0
608,4.7,4.9,0.0
609,4.8,4.9,0.0
611,2.7,3.9,0.0
612,5.0,4.4,0.0
614,4.8,4.5,0.0
615,5.0,70.0,0.0
616,4.8,4.9,0.0
618,4.9,4.9,0.0
619,3.0,16.0,0.0
622,4.7,21.0,0.0
625,1.0,9.2,0.0
633,5.0,9.3,0.0
634,4.7,5.0,0.0
636,5.0,5.0,0.0
640,5.0,5.0,0.0
645,3.0,5.5,0.0
646,4.1,11.0,0.0
654,5.0,25.0,0.0
655,3.7,15.0,0.0
656,4.5,10.0,0.0
657,4.2,4.9,0.0
661,4.3,9.0,0.0
675,4.4,8.1,0.0
684,3.4,14.0,0.0
686,4.7,3.7,0.0
688,4.8,3.5,0.0
689,4.7,4.5,0.0
691,3.5,36.0,0.0
692,4.7,4.5,0.0
693,3.8,19.0,0.0
694,2.9,14.0,0.0
700,4.6,18.0,0.0
701,4.7,18.0,0.0
702,4.6,21.0,0.0
703,4.7,3.3,0.0
705,4.5,39.0,0.0
706,4.7,3.2,0.0
707,4.8,5.1,0.0
708,4.6,11.0,0.0
709,4.6,27.0,0.0
710,4.6,37.0,0.0
712,4.9,26.0,0.0
713,3.8,11.0,0.0
715,4.4,41.0,0.0
716,4.4,49.0,0.0
717,4.3,21.0,0.0
718,4.5,8.1,0.0
719,4.4,51.0,0.0
720,4.6,14.0,0.0
721,3.9,18.0,0.0
722,4.4,3.0,0.0
723,4.3,19.0,0.0
725,4.2,22.0,0.0
726,4.4,6.9,0.0
727,4.0,7.4,0.0
728,4.2,84.0,0.0
729,3.8,25.0,0.0
730,4.5,18.0,0.0
732,4.5,2.5,0.0
733,4.3,3.9,0.0
735,4.3,21.0,0.0
736,4.7,27.0,0.0
741,4.5,18.0,0.0
743,4.6,10.0,0.0
748,4.4,97.0,0.0
749,4.2,17.0,0.0
752,4.0,2.0,0.0
753,4.1,1.9,0.0
754,4.3,1.8,0.0
755,4.3,1.8,0.0
756,4.3,17.0,0.0
758,4.6,5.3,0.0
760,4.6,5.4,0.0
761,4.7,5.4,0.0
762,4.7,5.4,0.0
763,4.3,15.0,0.0
764,4.7,5.3,0.0
765,4.6,48.0,0.0
766,4.6,5.4,0.0
767,4.6,47.0,0.0
768,4.3,0.556,0.0
769,4.2,29.0,0.0
770,4.0,2.3,0.0
772,4.2,4.4,0.0
773,4.1,6.6,0.0
775,4.0,0.526,0.0
776,4.5,12.0,0.0
778,4.0,29.0,0.0
790,4.5,76.0,0.0
795,4.6,18.0,0.0
798,4.7,6.9,0.0
800,4.4,14.0,0.0
802,4.4,11.0,0.0
803,4.0,19.0,0.0
804,4.6,6.5,0.0
805,4.4,7.0,0.0
808,4.3,21.0,0.0
810,4.2,2.6,0.0
811,4.3,21.0,0.0
812,4.3,5.2,0.0
813,4.3,18.0,0.0
815,4.2,16.0,0.0
816,4.0,15.0,0.0
817,4.0,1.2,0.0
820,4.1,18.0,0.0
821,3.9,1.8,0.0
822,4.1,7.6,0.0
825,4.4,59.0,0.0
827,4.0,6.9,0.0
829,4.4,41.0,0.0
834,4.5,21.0,0.0
837,4.3,21.0,0.0
841,3.5,7.3,0.0
848,4.8,7.6,0.0
850,4.1,13.0,0.0
851,4.9,63.0,3.99
852,4.7,44.0,5.99
853,4.7,24.0,3.99
854,4.7,24.0,3.99
